,period,raw_data,closer#,category,label,Silhouette,result
61,202011,-0.0026425305427983403,2,2.0,11.0,0.6969348000000001,1
62,202011,-0.0005659941741032525,2,2.0,1.0,0.6969348000000001,1
63,202011,-0.0006182380634709261,2,2.0,1.0,0.6969348000000001,1
64,202011,-0.001471861403697403,2,2.0,1.0,0.6969348000000001,1
65,202011,0.00011783206344261998,2,2.0,6.0,0.6969348000000001,1
66,202011,-0.00012797039496945217,2,2.0,6.0,0.6969348000000001,1
67,202011,-0.00048329607583582403,2,2.0,1.0,0.6969348000000001,1
68,202011,-0.001111595538968686,2,2.0,1.0,0.6969348000000001,1
69,202011,-0.0038402923196554184,2,2.0,11.0,0.6969348000000001,1
70,202011,-0.002847055308520794,2,2.0,11.0,0.6969348000000001,1
71,202011,-0.00021125986255356112,2,2.0,6.0,0.6969348000000001,1
72,202011,-0.0012553797161672265,2,2.0,7.0,0.6969348000000001,1
73,202011,-0.0005118426063563674,2,2.0,1.0,0.6969348000000001,1
74,202011,-3.926973447960336e-05,2,2.0,6.0,0.6969348000000001,1
75,202011,-0.0013682186836376786,2,2.0,7.0,0.6969348000000001,1
76,202011,-0.00041029276326298714,2,2.0,1.0,0.6969348000000001,1
77,202011,-0.002397653798107058,2,2.0,7.0,0.6969348000000001,1
78,202011,-0.0032493533566594125,2,2.0,11.0,0.6969348000000001,1
79,202011,-0.0019915859354659917,2,2.0,7.0,0.6969348000000001,1
80,202011,9.336235045338981e-05,2,2.0,6.0,0.6969348000000001,1
81,202011,-0.0002768671690864721,2,2.0,6.0,0.6969348000000001,1
82,202011,-0.0005189720120688435,2,2.0,1.0,0.6969348000000001,1
83,202011,0.00012718926329398527,2,2.0,6.0,0.6969348000000001,1
84,202011,-0.0010921897363004973,2,2.0,1.0,0.6969348000000001,1
85,202011,-0.0003870502142308396,2,2.0,6.0,0.6969348000000001,1
86,202011,0.00014225103426724673,2,2.0,6.0,0.6969348000000001,1
87,202011,-0.0031917045870795847,2,2.0,11.0,0.6969348000000001,1
88,202011,-0.0002409213515056763,2,2.0,6.0,0.6969348000000001,1
89,202011,-0.000419320075889118,2,2.0,1.0,0.6969348000000001,1
90,202011,-0.0007003480341518297,2,2.0,1.0,0.6969348000000001,1
91,202011,-0.00012460538084269502,2,2.0,1.0,0.6969348000000001,1
92,202011,-0.0006942899245768786,2,2.0,1.0,0.6969348000000001,1
93,202011,7.502801601731334e-05,2,2.0,6.0,0.6969348000000001,1
94,202011,-0.0006755691373473383,2,2.0,6.0,0.6969348000000001,1
95,202011,-0.0002703267823380884,2,2.0,6.0,0.6969348000000001,1
96,202011,-5.810793601995101e-05,2,2.0,6.0,0.6969348000000001,1
97,202011,-0.00021018661631387657,2,2.0,1.0,0.6969348000000001,1
98,202011,8.228486418374813e-05,2,2.0,6.0,0.6969348000000001,1
99,202011,-0.0008661690385906695,2,2.0,1.0,0.6969348000000001,1
100,202011,-0.0009200389013858512,2,2.0,1.0,0.6969348000000001,1
101,202011,-0.0005275237647583708,2,2.0,1.0,0.6969348000000001,1
102,202011,-0.00023768030587234534,2,2.0,6.0,0.6969348000000001,1
103,202011,-0.0001281380094587803,2,2.0,6.0,0.6969348000000001,1
104,202011,-0.0032126872474327684,2,2.0,11.0,0.6969348000000001,1
105,202011,-0.002513421163894236,2,2.0,11.0,0.6969348000000001,1
106,202011,-0.0005759225145448,2,2.0,7.0,0.6969348000000001,1
107,202011,-0.000627242813934572,2,2.0,1.0,0.6969348000000001,1
108,202011,-0.0003939376396556327,2,2.0,6.0,0.6969348000000001,1
109,202011,-0.0003528119607653934,2,2.0,1.0,0.6969348000000001,1
110,202011,-4.289781856641639e-05,2,2.0,6.0,0.6969348000000001,1
111,202011,9.136309411587717e-05,2,2.0,6.0,0.6969348000000001,1
112,202011,-0.00033647653015577816,2,2.0,6.0,0.6969348000000001,1
113,202011,-0.0008001708763185889,2,2.0,1.0,0.6969348000000001,1
114,202011,0.00020249648485332728,2,2.0,6.0,0.6969348000000001,1
115,202011,-0.00025306866446044295,2,2.0,6.0,0.6969348000000001,1
116,202011,-0.0028763364208862184,2,2.0,11.0,0.6969348000000001,1
117,202011,-0.00025620284824981357,2,2.0,6.0,0.6969348000000001,1
118,202011,-0.00041842145947157405,2,2.0,6.0,0.6969348000000001,1
119,202011,0.0001463701529428363,2,2.0,6.0,0.6969348000000001,1
120,202011,-0.0032579937763512136,2,2.0,11.0,0.6969348000000001,1
121,202011,-0.002294821683317423,2,2.0,7.0,0.6969348000000001,1
122,202011,-0.0017800076492130756,2,2.0,7.0,0.6969348000000001,1
123,202011,-0.00022301143239019438,2,2.0,6.0,0.6969348000000001,1
124,202011,0.00028023533050145486,2,2.0,6.0,0.6969348000000001,1
125,202011,-0.0015954086114652454,2,2.0,7.0,0.6969348000000001,1
126,202011,0.0004115315208036918,2,2.0,6.0,0.6969348000000001,1
127,202011,-3.660839458461851e-05,2,2.0,6.0,0.6969348000000001,1
128,202011,0.0002740757489300449,2,2.0,6.0,0.6969348000000001,1
129,202011,-0.0010907849294017069,2,2.0,7.0,0.6969348000000001,1
130,202011,-0.0015468515775864944,2,2.0,7.0,0.6969348000000001,1
131,202011,-9.3548175500473e-05,2,2.0,6.0,0.6969348000000001,1
132,202011,1.4117945902398787e-05,2,2.0,6.0,0.6969348000000001,1
133,202011,-0.0007027021933026844,2,2.0,1.0,0.6969348000000001,1
134,202011,0.00035342169052455575,2,2.0,6.0,0.6969348000000001,1
135,202011,-0.0008191778985201381,2,2.0,1.0,0.6969348000000001,1
136,202011,-0.003236329840729013,2,2.0,11.0,0.6969348000000001,1
137,202011,-0.0021512422570958735,2,2.0,11.0,0.6969348000000001,1
138,202011,-0.002931785020045936,2,2.0,11.0,0.6969348000000001,1
139,202011,-0.0029378538811579346,2,2.0,11.0,0.6969348000000001,1
140,202011,-0.00020814549643546342,2,2.0,6.0,0.6969348000000001,1
141,202011,-0.00023514792890637183,2,2.0,6.0,0.6969348000000001,1
142,202011,-0.003135591987520456,2,2.0,11.0,0.6969348000000001,1
143,202011,0.0002917506208177656,2,2.0,6.0,0.6969348000000001,1
144,202011,-0.0023808525898493826,2,2.0,11.0,0.6969348000000001,1
145,202011,-0.0005805443512508646,2,2.0,1.0,0.6969348000000001,1
146,202011,-9.480540658842074e-05,2,2.0,6.0,0.6969348000000001,1
147,202011,-0.00016447525107651017,2,2.0,6.0,0.6969348000000001,1
148,202011,-0.0008118604449555278,2,2.0,1.0,0.6969348000000001,1
149,202011,-0.0008955046243499965,2,2.0,7.0,0.6969348000000001,1
150,202011,-0.00039188829250633714,2,2.0,1.0,0.6969348000000001,1
151,202011,-0.0034865255327895285,2,2.0,11.0,0.6969348000000001,1
152,202011,-0.00026659805560484527,2,2.0,1.0,0.6969348000000001,1
153,202011,-0.00012671858639805577,2,2.0,6.0,0.6969348000000001,1
154,202011,-0.0004533386557886843,2,2.0,6.0,0.6969348000000001,1
155,202011,0.00030900198333256413,2,2.0,6.0,0.6969348000000001,1
156,202011,0.00011396290974516888,2,2.0,6.0,0.6969348000000001,1
157,202011,6.22182956431061e-05,2,2.0,6.0,0.6969348000000001,1
