,period,raw_data,closer#,category,label,Silhouette
185,202011,-8.66893560760218e-05,2,3,1.0,0.12622885
186,202011,-8.835518212436e-05,2,3,1.0,0.12622885
187,202011,-0.0003852477061445825,2,3,1.0,0.12622885
188,202011,-0.0002850834431455951,2,3,1.0,0.12622885
189,202011,0.0004342291923239827,2,3,1.0,0.12622885
190,202011,3.622348955104826e-05,2,3,1.0,0.12622885
191,202011,0.0005224644666304812,2,3,13.0,0.12622885
192,202011,0.00035565850161219716,2,3,1.0,0.12622885
193,202011,-0.0004539523338462459,2,3,13.0,0.12622885
194,202011,-0.0011926613859395729,2,3,11.0,0.12622885
195,202011,-0.00046652605258714177,2,3,13.0,0.12622885
196,202011,-0.00025914375419233693,2,3,13.0,0.12622885
197,202011,-0.0008830648112780182,2,3,11.0,0.12622885
198,202011,-3.10183287365362e-05,2,3,1.0,0.12622885
199,202011,2.4212973803514613e-05,2,3,1.0,0.12622885
200,202011,-6.40444711825694e-05,2,3,1.0,0.12622885
201,202011,-0.0005991795602312777,2,3,11.0,0.12622885
202,202011,-8.410784148509265e-05,2,3,1.0,0.12622885
203,202011,-3.25961530325003e-05,2,3,1.0,0.12622885
204,202011,-0.0003116393269010587,2,3,13.0,0.12622885
205,202011,-0.0007068635747054941,2,3,1.0,0.12622885
206,202011,-0.0004920648035840713,2,3,11.0,0.12622885
207,202011,0.0001757051769163809,2,3,1.0,0.12622885
208,202011,0.0004071192040646565,2,3,13.0,0.12622885
209,202011,0.00027745140083425214,2,3,1.0,0.12622885
210,202011,-0.0005147105546620878,2,3,1.0,0.12622885
211,202011,-0.000407067288615508,2,3,11.0,0.12622885
212,202011,-0.0005431208432855783,2,3,13.0,0.12622885
213,202011,-0.0003407845555557287,2,3,13.0,0.12622885
214,202011,-0.001371193779850728,2,3,11.0,0.12622885
215,202011,0.0002498776836182515,2,3,1.0,0.12622885
216,202011,-0.0004150880859742756,2,3,1.0,0.12622885
217,202011,-0.001489974237338174,2,3,11.0,0.12622885
218,202011,6.712245849485043e-05,2,3,1.0,0.12622885
219,202011,-0.0003568022186118469,2,3,1.0,0.12622885
220,202011,-0.00045040339355182366,2,3,13.0,0.12622885
221,202011,-0.000546193347836379,2,3,1.0,0.12622885
222,202011,-0.0005854193872164615,2,3,1.0,0.12622885
223,202011,-0.0027722860529320313,2,3,12.0,0.12622885
224,202011,-0.002653245613910258,2,3,12.0,0.12622885
225,202011,-0.0002009031885609147,2,3,1.0,0.12622885
226,202011,-0.00023568784672534093,2,3,1.0,0.12622885
227,202011,0.00022258101187617286,2,3,13.0,0.12622885
228,202011,-0.00046149278459779454,2,3,13.0,0.12622885
229,202011,-8.857181172061245e-05,2,3,1.0,0.12622885
230,202011,-0.00038243625102040823,2,3,1.0,0.12622885
231,202011,-0.0008919727180909832,2,3,1.0,0.12622885
232,202011,-6.966760824070662e-05,2,3,13.0,0.12622885
233,202011,-0.0003190317669941578,2,3,1.0,0.12622885
234,202011,-0.0003651077861468366,2,3,13.0,0.12622885
235,202011,-0.0007679045303302701,2,3,11.0,0.12622885
236,202011,-0.00019435602871908486,2,3,1.0,0.12622885
237,202011,-0.0009333929913555039,2,3,11.0,0.12622885
238,202011,-0.001664714838261716,2,3,11.0,0.12622885
239,202011,-0.0007720752306340728,2,3,13.0,0.12622885
240,202011,-0.0015080058746389114,2,3,12.0,0.12622885
241,202011,-0.0003385588548735541,2,3,13.0,0.12622885
242,202011,-0.0015810805466026068,2,3,12.0,0.12622885
243,202011,-0.0001776866291766055,2,3,13.0,0.12622885
244,202011,-0.0004184368097776314,2,3,1.0,0.12622885
245,202011,0.00016616826353128998,2,3,1.0,0.12622885
246,202011,-0.002644656058400869,2,3,12.0,0.12622885
247,202011,0.00027473674299471895,2,3,1.0,0.12622885
248,202011,1.0892441787291317e-06,2,3,1.0,0.12622885
249,202011,-0.002236096181877656,2,3,12.0,0.12622885
250,202011,-0.00014274732746343943,2,3,1.0,0.12622885
251,202011,-3.6009264622407496e-05,2,3,1.0,0.12622885
252,202011,-1.3995136014273157e-05,2,3,1.0,0.12622885
253,202011,-3.210715774912387e-05,2,3,13.0,0.12622885
254,202011,-0.00037709148149588144,2,3,13.0,0.12622885
255,202011,-0.0008714966559455206,2,3,11.0,0.12622885
256,202011,-0.00033222597692656564,2,3,1.0,0.12622885
257,202011,-0.0004398161522931332,2,3,13.0,0.12622885
258,202011,-1.2148787936894223e-05,2,3,1.0,0.12622885
259,202011,-1.7155324367195136e-05,2,3,1.0,0.12622885
260,202011,-0.0002634975489490898,2,3,13.0,0.12622885
261,202011,0.00032069823399069716,2,3,1.0,0.12622885
262,202011,-0.0014594723752816207,2,3,11.0,0.12622885
263,202011,-0.0026239347815135263,2,3,12.0,0.12622885
264,202011,0.00014020714806974865,2,3,1.0,0.12622885
265,202011,7.478981888198177e-05,2,3,13.0,0.12622885
266,202011,-0.000859367473929069,2,3,11.0,0.12622885
267,202011,-0.0003649442071764497,2,3,11.0,0.12622885
268,202011,-0.0006401436788291904,2,3,13.0,0.12622885
269,202011,-0.0003391131942771608,2,3,13.0,0.12622885
270,202011,-0.00029836652131052686,2,3,13.0,0.12622885
271,202011,-0.0002951284206210403,2,3,1.0,0.12622885
272,202011,-0.0004358624282576784,2,3,1.0,0.12622885
273,202011,-0.00040276422292663484,2,3,1.0,0.12622885
274,202011,2.2851889516459776e-05,2,3,1.0,0.12622885
275,202011,-0.00031902483431622386,2,3,13.0,0.12622885
276,202011,-0.001448994065858642,2,3,12.0,0.12622885
277,202011,-0.00020334918630396715,2,3,13.0,0.12622885
278,202011,-0.0023216896739904768,2,3,12.0,0.12622885
279,202011,0.00013629862458401477,2,3,1.0,0.12622885
280,202011,-0.00047962426674530434,2,3,1.0,0.12622885
281,202011,-0.000667789331964741,2,3,13.0,0.12622885
282,202011,-0.0003037319342547562,2,3,1.0,0.12622885
