date,price,open,high,low,vol,change
2018-07-04,764.29 ,755.95 ,810.81 ,740.94 ,144.10K,1.13%
2018-07-03,755.78 ,781.37 ,831.35 ,752.34 ,180.52K,-3.26%
2018-07-02,781.27 ,738.68 ,797.34 ,727.62 ,143.86K,5.77%
2018-07-01,738.68 ,749.05 ,756.07 ,717.56 ,92.63K,-1.37%
2018-06-30,748.95 ,716.71 ,785.34 ,716.48 ,160.36K,4.41%
2018-06-29,717.29 ,660.06 ,737.77 ,652.98 ,153.55K,8.62%
2018-06-28,660.34 ,714.54 ,723.50 ,650.84 ,117.90K,-7.59%
2018-06-27,714.54 ,697.97 ,722.83 ,691.24 ,116.65K,2.37%
2018-06-26,697.97 ,754.78 ,761.04 ,695.85 ,104.00K,-7.53%
2018-06-25,754.78 ,747.40 ,781.42 ,736.25 ,142.83K,0.99%
2018-06-24,747.39 ,763.82 ,771.92 ,667.97 ,246.86K,-2.15%
2018-06-23,763.82 ,753.85 ,778.70 ,735.60 ,110.21K,1.31%
2018-06-22,753.91 ,872.47 ,902.81 ,727.71 ,265.96K,-13.64%
2018-06-21,872.95 ,888.91 ,905.16 ,860.05 ,92.39K,-1.80%
2018-06-20,888.91 ,907.58 ,908.08 ,856.99 ,126.10K,-2.06%
2018-06-19,907.56 ,883.60 ,928.84 ,869.93 ,114.99K,2.72%
2018-06-18,883.55 ,847.62 ,893.09 ,824.98 ,115.87K,4.25%
2018-06-17,847.51 ,851.17 ,863.93 ,844.86 ,77.23K,-0.43%
2018-06-16,851.15 ,844.35 ,861.24 ,831.36 ,78.60K,0.80%
2018-06-15,844.35 ,895.58 ,898.48 ,838.75 ,114.29K,-5.72%
2018-06-14,895.59 ,838.99 ,906.43 ,824.75 ,185.90K,6.75%
2018-06-13,838.93 ,870.57 ,888.34 ,802.86 ,215.23K,-3.63%
2018-06-12,870.57 ,954.29 ,961.18 ,852.57 ,204.83K,-8.77%
2018-06-11,954.26 ,936.42 ,975.81 ,898.23 ,233.45K,1.92%
2018-06-10,936.29 ,1087.74 ,1087.79 ,897.83 ,298.57K,-13.92%
2018-06-09,1087.72 ,1115.58 ,1138.74 ,1082.61 ,121.06K,-2.50%
2018-06-08,1115.59 ,1144.43 ,1150.39 ,1086.87 ,145.34K,-2.52%
2018-06-07,1144.42 ,1129.84 ,1169.02 ,1129.35 ,165.78K,1.29%
2018-06-06,1129.84 ,1151.02 ,1158.39 ,1098.48 ,200.75K,-1.84%
2018-06-05,1151.06 ,1098.62 ,1159.58 ,1049.44 ,229.04K,4.77%
2018-06-04,1098.62 ,1169.35 ,1210.89 ,1076.19 ,277.69K,-6.05%
2018-06-03,1169.39 ,1084.42 ,1194.35 ,1072.53 ,238.73K,7.84%
2018-06-02,1084.42 ,1003.28 ,1099.67 ,994.59 ,188.42K,8.09%
2018-06-01,1003.29 ,996.97 ,1012.15 ,978.26 ,155.12K,0.63%
2018-05-31,996.98 ,984.40 ,1033.23 ,973.01 ,199.57K,1.28%
2018-05-30,984.36 ,987.41 ,1028.80 ,951.54 ,190.07K,-0.23%
2018-05-29,986.62 ,883.60 ,1006.49 ,871.02 ,236.48K,11.69%
2018-05-28,883.31 ,997.62 ,1007.94 ,873.65 ,175.43K,-11.46%
2018-05-27,997.62 ,1008.55 ,1010.35 ,978.95 ,132.61K,-1.08%
2018-05-26,1008.50 ,1014.07 ,1045.55 ,996.67 ,116.61K,-0.55%
2018-05-25,1014.07 ,1073.92 ,1073.92 ,988.22 ,164.16K,-5.52%
2018-05-24,1073.29 ,995.00 ,1081.00 ,947.01 ,214.40K,7.82%
2018-05-23,995.49 ,1136.52 ,1153.21 ,969.99 ,265.57K,-12.41%
2018-05-22,1136.52 ,1229.44 ,1230.97 ,1123.80 ,120.83K,-7.55%
2018-05-21,1229.38 ,1288.64 ,1297.37 ,1220.29 ,95.33K,-4.60%
2018-05-20,1288.70 ,1177.51 ,1305.47 ,1166.02 ,148.52K,9.44%
2018-05-19,1177.51 ,1203.34 ,1212.40 ,1150.99 ,107.91K,-2.15%
2018-05-18,1203.42 ,1198.58 ,1219.78 ,1132.32 ,204.82K,0.34%
2018-05-17,1199.29 ,1279.81 ,1342.17 ,1171.66 ,182.32K,-6.31%
2018-05-16,1280.00 ,1337.45 ,1356.18 ,1221.53 ,193.31K,-4.25%
2018-05-15,1336.79 ,1412.56 ,1451.97 ,1311.86 ,184.90K,-5.36%
2018-05-14,1412.51 ,1478.73 ,1495.23 ,1328.78 ,245.48K,-4.51%
2018-05-13,1479.23 ,1461.14 ,1498.02 ,1403.10 ,172.31K,1.59%
2018-05-12,1456.08 ,1366.36 ,1502.30 ,1267.21 ,291.85K,6.78%
2018-05-11,1363.57 ,1520.27 ,1556.81 ,1316.54 ,329.77K,-10.30%
2018-05-10,1520.10 ,1628.12 ,1666.57 ,1510.72 ,172.40K,-6.63%
2018-05-09,1628.09 ,1600.32 ,1675.18 ,1465.63 ,196.88K,1.67%
2018-05-08,1601.36 ,1649.83 ,1655.30 ,1555.34 ,170.06K,-3.16%
2018-05-07,1653.55 ,1758.30 ,1778.80 ,1567.45 ,220.01K,-6.06%
2018-05-06,1760.31 ,1761.37 ,1843.84 ,1641.50 ,275.81K,0.20%
2018-05-05,1756.71 ,1515.91 ,1756.71 ,1511.78 ,258.65K,15.86%
2018-05-04,1516.23 ,1509.97 ,1540.50 ,1462.55 ,146.81K,0.41%
2018-05-03,1510.03 ,1458.87 ,1540.71 ,1449.44 ,209.93K,3.51%
2018-05-02,1458.87 ,1353.95 ,1488.91 ,1325.14 ,191.38K,7.68%
2018-05-01,1354.78 ,1348.33 ,1360.19 ,1247.45 ,138.56K,0.56%
2018-04-30,1347.29 ,1440.93 ,1446.25 ,1333.43 ,107.95K,-6.49%
2018-04-29,1440.76 ,1391.44 ,1484.29 ,1372.03 ,167.73K,3.54%
2018-04-28,1391.48 ,1333.69 ,1416.04 ,1323.15 ,131.64K,4.33%
2018-04-27,1333.68 ,1421.93 ,1424.02 ,1329.85 ,184.68K,-6.26%
2018-04-26,1422.75 ,1289.95 ,1424.21 ,1244.41 ,268.40K,10.26%
2018-04-25,1290.32 ,1406.36 ,1435.56 ,1228.75 ,504.59K,-8.25%
2018-04-24,1406.39 ,1439.40 ,1568.08 ,1393.68 ,434.69K,-2.26%
2018-04-23,1438.83 ,1194.88 ,1454.37 ,1191.96 ,397.12K,20.41%
2018-04-22,1195.00 ,1155.07 ,1258.18 ,1111.72 ,239.78K,3.45%
2018-04-21,1155.17 ,1125.91 ,1187.07 ,1016.69 ,283.15K,2.63%
2018-04-20,1125.55 ,966.67 ,1148.47 ,942.43 ,264.26K,16.42%
2018-04-19,966.84 ,895.72 ,983.08 ,879.05 ,197.16K,7.96%
2018-04-18,895.52 ,759.01 ,901.53 ,758.13 ,197.92K,18.03%
2018-04-17,758.74 ,769.22 ,788.11 ,753.86 ,97.37K,-1.36%
2018-04-16,769.22 ,780.48 ,799.41 ,743.43 ,110.72K,-1.44%
2018-04-15,780.49 ,737.36 ,787.25 ,737.24 ,90.73K,5.85%
2018-04-14,737.38 ,740.60 ,760.63 ,718.87 ,87.49K,-0.41%
2018-04-13,740.39 ,737.12 ,786.03 ,722.28 ,143.28K,0.43%
2018-04-12,737.20 ,669.52 ,740.08 ,658.15 ,173.42K,10.16%
2018-04-11,669.21 ,651.10 ,670.12 ,648.95 ,85.06K,2.78%
2018-04-10,651.09 ,638.18 ,658.99 ,627.13 ,70.77K,1.98%
