,period,username,date,retweets,favorites,hashtags,text
104,201921,maxkeiser,2019-07-14 21:42:35+00:00,14,69,#Bitcoin #Bitcoin,"A few years back, not sure if he’s still doing it, but Peter Schiff’s Executive Producer Tom Elliott proudly displayed a photo of a baby seal getting clubbed to death as his twitter profile (to prove his Libertarian credentials, he said). #Bitcoin never clubs baby seals to death "
105,201921,maxkeiser,2019-07-14 20:23:48+00:00,88,492,#Bitcoin #Bitcoin,The first government that takes #Bitcoin to pay taxes wins. Easiest way for govt’s to stack sats.
106,201921,maxkeiser,2019-07-14 16:14:06+00:00,19,85,#Bitcoin #Bitcoin,#Bitcoin dominance asserting itself in this sell-off. 
107,201921,maxkeiser,2019-07-13 21:51:00+00:00,20,59,#Bitcoin #Bitcoin,"#Bitcoin down on news Big Finance wants Congress to outlaw Big Tech from launching disruptive, competing products. This is exactly what happened to the tech I invented for HSX when Hollywood got Congress to outlaw ‘Box Office Futures’ that in turn killed HSX. "
108,201921,maxkeiser,2019-07-13 18:18:28+00:00,16,88,#Bitcoin #Bitcoin #Brexit,"#Bitcoin will be the most successful peasant revolt since America’s War of Independence. (The current peasant revolt in UK, #Brexit will fail because they are sticking with fiat money stamped with Queen Liz’s face)."
109,201921,maxkeiser,2019-07-13 18:13:50+00:00,146,620,#Bitcoin #Bitcoin,"#Bitcoin at $1, like @KeiserReport said in 2011, was a way for the poor to right the wrong of fiat money, by obtaining financial sovereignty. At $11,200, this is still true. The rich (mostly) hate BTC because they want the poor to stay poor. Do you want to stay poor?"
110,201921,maxkeiser,2019-07-12 21:02:23+00:00,112,520,#Bitcoin #Bitcoin,"As predicted yesterday, #Bitcoin would humiliate Trump by powering higher. This should be a lesson to sovereigns, you can escape $USD hegemony by loading up on BTC."
111,201921,maxkeiser,2019-07-12 20:34:35+00:00,13,106,,"I’m on the cover of Bitcoin Magazine, November, 2012. "
112,201921,maxkeiser,2019-07-12 14:04:53+00:00,6,51,#Bitcoin #Bitcoin #PraiseSatoshi,"With #Bitcoin, religion becomes obsolete. Epiphany happens every 10 minutes thanks to the protocol. Truth is infinite, transparent, and accessible. No (organized/centralized) religion will be around in 20 yrs. #PraiseSatoshi"
113,201921,maxkeiser,2019-07-12 13:27:53+00:00,17,175,#Bitcoin #Bitcoin,"Do we break $15,000 today on Trump’s gaffe? #Bitcoin"
114,201921,maxkeiser,2019-07-12 12:57:59+00:00,44,197,#Bitcoin #Bitcoin,"Dear $USD slaves, The Pentagon’s budget, $1.5 tr., is funded with worthless paper. This is unnoticeable as long as there is no alternative. Trump and Fed chair Powell just said, ‘#Bitcoin is as good as Gold’ A Gold standard is tough to implement, but taking BTC to $100k is easy."
115,201921,maxkeiser,2019-07-12 12:53:05+00:00,9,92,#Bitcoin #Bitcoin,“Give me #Bitcoin. Or give me Gold”.
116,201921,maxkeiser,2019-07-12 12:50:36+00:00,29,120,#Bitcoin #Bitcoin,"The road gets narrower. As #Bitcoin attracts (and defeats) bigger enemies, HODL’ing will attract more heat from the most unsavory among us. Taking on J. Dimon was easy. With Trump in the game, we must batten down the hatches if we are serious about defending our freedom. "
117,201921,maxkeiser,2019-07-12 12:39:28+00:00,251,1404,#Bitcoin #Bitcoin,"Trump just put a giant ‘Kick Me’ sign on his back. He’s signaled to the world, the way to crush the $USD is to take #Bitcoin up to $100,000. Bullish AF"
118,201921,maxkeiser,2019-07-12 01:50:05+00:00,127,545,#Bitcoin #Bitcoin #Freedom #Bitcoin #Bitcoin,"#Bitcoin is code. Code is text. Text is speech. And speech is protected in America, Mr. President. You may have just lost 2020. $100,000 is now in play. Not for riches, but to protect the Constitution of the United States of America. If you love #Freedom, Buy #Bitcoin "
119,201921,maxkeiser,2019-07-12 01:36:29+00:00,78,266,#Bitcoin #Bitcoin,"#Bitcoin is code. Code is text. Text is speech. And speech is protected in America, Mr. President. You may have just lost 2020. $100,000 is now in play. Not for riches, but to protect the Constitution of the United States of America. "
